Graus de Liberdade,0.10 (Unilateral),0.05 (Unilateral),0.01 (Unilateral),0.10 (Bicaudal),0.05 (Bicaudal),0.01 (Bicaudal)
1,6.314,12.706,63.657,12.706,6.314,63.657
2,2.920,4.303,9.925,4.303,2.920,9.925
3,2.353,3.182,5.841,3.182,2.353,5.841
4,2.132,2.776,4.604,2.776,2.132,4.604
5,2.015,2.571,4.032,2.571,2.015,4.032
6,1.943,2.447,3.707,2.447,1.943,3.707
7,1.895,2.365,3.499,2.365,1.895,3.499
8,1.860,2.306,3.355,2.306,1.860,3.355
9,1.833,2.262,3.250,2.262,1.833,3.250
10,1.812,2.228,3.169,2.228,1.812,3.169
11,1.795,2.201,3.106,2.201,1.795,3.106
12,1.782,2.179,3.055,2.179,1.782,3.055
13,1.771,2.160,3.012,2.160,1.771,3.012
14,1.761,2.145,2.977,2.145,1.761,2.977
15,1.753,2.131,2.947,2.131,1.753,2.947
16,1.746,2.120,2.921,2.120,1.746,2.921
17,1.740,2.110,2.898,2.110,1.740,2.898
18,1.734,2.101,2.878,2.101,1.734,2.878
19,1.729,2.093,2.861,2.093,1.729,2.861
20,1.725,2.086,2.845,2.086,1.725,2.845
21,1.721,2.080,2.831,2.080,1.721,2.831
22,1.717,2.074,2.819,2.074,1.717,2.819
23,1.714,2.069,2.807,2.069,1.714,2.807
24,1.711,2.064,2.797,2.064,1.711,2.797
25,1.708,2.060,2.787,2.060,1.708,2.787
